Date,Open,High,Low,Close,Adj Close,Volume,ticker,sector,GDP,T10YIE,VIXCLS,returns,log_returns,volume_ratio,return_1d,direction_1d,return_5d,volatility_regime,gdp_growth,economic_regime,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,SMA_short,SMA_long,OBV
2015-03-23,5020.60009765625,5031.39013671875,5010.97021484375,5010.97021484375,5010.97021484375,1608880000,^IXIC,Index,18063.529,1.75,13.41,-0.0030737000233531653,-0.0030784335413681233,0.8553811554886842,-0.0032409361218895816,0,-0.0126782380883661,Low,0.0,1.0,62.484532410204466,40.00749402124438,38.09380615383486,1.9136878674095215,5051.25869347292,4952.438012695313,4853.617331917706,4830.16380859375,,19087340000.0
2015-03-24,5010.10009765625,5032.47998046875,4994.56005859375,4994.72998046875,4994.72998046875,1611670000,^IXIC,Index,18063.529,1.77,13.62,-0.0032409361218895816,-0.003246199330254,0.8619793804618471,-0.023666937231791252,0,-0.018789824079227246,Low,0.0,1.0,59.855998513493006,39.84839344669945,38.444723612407785,1.4036698342916623,5054.102859539858,4953.768505859375,4853.434152178892,4835.97701171875,,17475670000.0
2015-03-25,5002.830078125,5006.759765625,4876.52001953125,4876.52001953125,4876.52001953125,2219520000,^IXIC,Index,18063.529,1.81,15.44,-0.023666937231791252,-0.02395149794627094,1.1754192109801542,-0.0026986777860629196,0,0.000760780417724316,Medium,0.0,1.0,45.01290138484491,29.83977481981492,36.723733853889215,-6.883959034074294,5054.795863466469,4949.2375,4843.679136533531,4840.213212890625,,15256150000.0
2015-03-26,4835.7099609375,4889.2099609375,4825.93017578125,4863.35986328125,4863.35986328125,2004960000,^IXIC,Index,18063.529,1.8,15.8,-0.0026986777860629196,-0.0027023257816139053,1.0590043575861614,0.005728622258214466,1,0.004848516002903924,Medium,0.0,1.0,43.71326532319338,20.608397051517386,33.50066649341485,-12.892269441897461,5053.300054872167,4943.010986328125,4832.721917784083,4844.25041015625,,13251190000.0
2015-03-27,4863.740234375,4899.259765625,4859.66015625,4891.22021484375,4891.22021484375,1678650000,^IXIC,Index,18063.529,1.76,15.07,0.005728622258214466,0.005712276099327744,0.8931825691456277,0.011494008466820915,1,0.005336011921073025,Medium,0.0,1.0,47.189546323878176,15.36346078160841,29.873225351053563,-14.509764569445153,5051.483172084017,4939.3955078125,4827.307843540983,4849.28841796875,,14929840000.0
2015-03-30,4921.77978515625,4948.4599609375,4921.1201171875,4947.43994140625,4947.43994140625,1778520000,^IXIC,Index,18063.529,1.73,14.51,0.011494008466820915,0.011428454194200603,0.950179068140456,-0.00941093962638706,0,-0.00752105359098576,Low,0.0,1.0,53.438694068868095,15.563862566219541,27.011352794086758,-11.447490227867217,5044.045954557934,4936.3625,4828.679045442066,4856.8208203125,,16708360000.0
2015-03-31,4925.91015625,4940.8701171875,4899.31005859375,4900.8798828125,4900.8798828125,1837660000,^IXIC,Index,18063.529,1.76,15.29,-0.00941093962638706,-0.009455502323651886,0.9865510574235463,-0.004213509173356722,0,0.010189994980572825,Medium,0.0,1.0,48.337258753325365,11.829313847923913,23.97494500485419,-12.145631156930278,5039.210314066444,4932.4114990234375,4825.612683980431,4862.1508203125,,14870700000.0
2015-04-01,4894.35986328125,4899.3798828125,4844.39013671875,4880.22998046875,4880.22998046875,1874960000,^IXIC,Index,18279.784,1.8,15.11,-0.004213509173356722,-0.004222411017267489,1.0052229819785141,0.001374927198995568,1,0.019329023120328248,Medium,216.25500000000102,1.0,46.22938855048803,7.121292712458853,20.604214546375125,-13.482921833916272,5035.926176926041,4928.065991210938,4820.205805495834,4866.65841796875,,12995740000.0
2015-04-02,4885.41015625,4901.330078125,4872.9599609375,4886.93994140625,4886.93994140625,1563670000,^IXIC,Index,18279.784,1.81,14.67,0.001374927198995568,0.0013739828521006805,0.8419541011252744,0.00621654515438097,1,0.022312539210605165,Low,0.0,1.0,47.0375838305353,3.8867853709989504,17.260728711299894,-13.373943340300944,5029.483580254995,4923.272485351563,4817.061390448131,4871.048818359375,,14559410000.0
2015-04-06,4855.93994140625,4929.6201171875,4852.91015625,4917.31982421875,4917.31982421875,1737560000,^IXIC,Index,18279.784,1.85,14.74,0.00621654515438097,0.0061973021463937435,0.9401574594386791,-0.0014418105804469006,0,0.014424560190676505,Low,0.0,1.0,50.65396642533256,3.7317997822938196,14.55494292549868,-10.823143143204861,5028.993863092164,4922.769970703125,4816.546078314086,4874.387216796875,,16296970000.0
2015-04-07,4917.5,4948.8798828125,4909.77001953125,4910.22998046875,4910.22998046875,1572940000,^IXIC,Index,18279.784,1.85,14.78,-0.0014418105804469006,-0.0014428509894906056,0.8539397821909033,0.008266383430399982,1,0.013657213381143452,Low,0.0,1.0,49.79936108021881,3.0022731127119187,12.244408962941328,-9.24213585022941,5027.117998599024,4921.15947265625,4815.200946713476,4877.43421875,,14724030000.0
2015-04-08,4914.14990234375,4956.72021484375,4914.14990234375,4950.81982421875,4950.81982421875,1714210000,^IXIC,Index,18279.784,1.84,13.98,0.008266383430399982,0.008232404012392978,0.9347398153651527,0.004795212756252276,1,0.012159641726004367,Low,0.0,1.0,54.529237387179265,5.634428948648747,10.922412960082813,-5.287984011434066,5028.5071234044035,4925.710961914063,4822.914800423722,4881.015419921875,,16438240000.0
